Generation,Individual_Index_In_Pop,Fitness,PPG,Slot_0_Player_ID,Slot_1_Player_ID,Slot_2_Player_ID,Slot_3_Player_ID,Slot_4_Player_ID,Slot_5_Player_ID,Slot_6_Player_ID
1,87,61.142941176470586,61.142941176470586,138,38,70,180,204,131,166
1,88,-9928.093529411764,71.9064705882353,152,150,104,55,73,117,71
1,89,78.86588235294118,78.86588235294118,91,121,37,51,26,182,142
1,90,-9931.178823529412,68.82117647058823,98,23,187,186,204,126,49
1,91,-9925.291764705882,74.70823529411766,167,59,93,71,94,15,28
1,92,64.9235294117647,64.9235294117647,108,162,38,153,115,200,121
1,93,-19933.46294117647,66.5370588235294,132,99,109,65,61,111,159
1,94,-9925.218235294118,74.78176470588235,172,134,68,5,153,170,112
1,95,-9948.358235294118,51.64176470588236,132,174,203,42,190,15,187
1,96,-9947.71,52.29,172,90,125,78,83,139,203
1,97,-9950.900588235294,49.099411764705884,154,174,160,143,29,170,196
1,98,-9931.397647058824,68.60235294117646,130,165,150,29,190,96,157
1,99,-29946.454705882352,53.54529411764706,158,189,56,168,185,181,89
2,0,95.05529411764705,95.05529411764705,91,141,68,27,1,82,6
2,1,91.34411764705884,91.34411764705884,127,56,4,3,86,142,64
2,2,87.09235294117647,87.09235294117647,98,163,31,1,49,82,64
2,3,84.8,84.8,47,10,54,204,7,182,117
2,4,83.44058823529411,83.44058823529411,36,137,99,3,88,46,148
2,5,84.71176470588235,84.71176470588235,106,6,171,58,27,192,14
2,6,80.50294117647059,80.50294117647059,106,6,171,58,114,192,14
2,7,105.64176470588235,105.64176470588235,127,56,4,3,1,82,6
2,8,-29919.242352941175,80.75764705882354,91,141,68,27,86,142,64
2,9,73.79,73.79,91,121,101,112,35,200,52
2,10,75.61941176470589,75.61941176470589,106,171,37,51,26,182,142
2,11,92.76705882352941,92.76705882352941,132,99,4,5,11,192,114
2,12,-9929.775882352942,70.2241176470588,47,173,2,8,55,139,174
2,13,72.83235294117647,72.83235294117647,91,52,121,83,24,192,114
2,14,88.17294117647059,88.17294117647059,47,173,2,8,19,103,78
2,15,-9918.991176470588,81.00882352941177,92,43,18,179,35,181,44
2,16,-9937.3,62.699999999999996,130,166,107,175,153,182,100
2,17,83.44058823529411,83.44058823529411,36,137,99,3,88,46,148
2,18,83.44058823529411,83.44058823529411,36,137,99,3,88,46,148
2,19,-9923.321176470588,76.67882352941176,47,43,121,179,35,181,100
2,20,85.89529411764705,85.89529411764705,92,100,2,8,55,192,114
2,21,-9915.358823529412,84.64117647058823,40,134,99,3,88,46,148
2,22,-9927.859411764706,72.14058823529412,36,137,178,32,153,123,160
2,23,85.67588235294119,85.67588235294119,47,100,6,57,19,170,120
2,24,75.93823529411766,75.93823529411766,122,173,2,8,55,192,114
2,25,69.89,69.89,91,121,37,168,26,182,142
2,26,65.61529411764707,65.61529411764707,36,176,68,44,190,136,74
2,27,-19931.196470588235,68.80352941176471,108,135,59,71,51,139,171
2,28,67.78117647058824,67.78117647058824,92,107,41,193,168,131,15
